Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Rodzaj dywersyfikacji polegający na rozszerzeniu asortymentu o produkty oparte na pokrewnej technologii, sprzedawane na tych samych rynkach (np. producent proszków wprowadzający wybielacze), to dywersyfikacja:",horyzontalna (pokrewna),wertykalna,konglomeratowa,pionowa
"Firma produkująca telefony, która zaczyna samodzielnie produkować pamięć RAM do własnych urządzeń, realizuje strategię:",integracji pionowej w tył,integracji pionowej w przód,integracji poziomej,dywersyfikacji horyzontalnej
"Według Philipa Kotlera, firma posiadająca największy udział w rynku, wyznaczająca standardy cenowe i produktowe oraz broniąca swojej pozycji, pełni rolę rynkową:",lidera rynkowego,pretendenta,naśladowcy,uczestnika niszy rynkowej
"Wśród czterech strategii naśladowców wg Kotlera, firma która selektywnie kopiuje elementy lidera, ale zachowuje własną tożsamość (np. Xiaomi inspirujące się designem Apple), to:",imitator,fałszerz,twórca klonów,usprawniacz
"Strategia konkurencji wg Portera polegająca na osiągnięciu przewagi poprzez minimalizację kosztów produkcji i oferowanie najniższych cen na rynku, to:",przywództwo kosztowe,dyferencjacja (przywództwo jakościowe),koncentracja,strategia zintegrowana
"Wąsko wyspecjalizowane małe lub średnie przedsiębiorstwa, osiągające dominującą, globalną pozycję w wybranej, niezauważonej przez innych niszy rynkowej, określa się mianem:",ukrytych mistrzów (Hidden Champions),liderów rynkowych,jednorożców,konglomeratów
Autorami koncepcji kluczowych kompetencji jako źródła długotrwałej przewagi konkurencyjnej firmy są:,Gary Hamel i C.K. Prahalad,John Kay,Michael Porter,Kaplan i Norton
"Według koncepcji Johna Kaya, zaufanie klientów do firmy i jej marki, decydujące o trudnej do skopiowania przewadze konkurencyjnej, to zdolność wyróżniająca zwana:",reputacją,architekturą,innowacją,zasobem strategicznym
"Strategia polegająca na stałym poszukiwaniu nowych, niezajętych jeszcze przez konkurencję przestrzeni rynkowych, zamiast konkurowania na istniejącym rynku, nazywana jest strategią:",błękitnego oceanu,czerwonego oceanu,przywództwa kosztowego,koncentracji
"Inwestycja polegająca na tworzeniu nowego przedsiębiorstwa od podstaw, bez przejmowania istniejących struktur, to inwestycja typu:",greenfield,brownfield,offshoring,franczyza
"Forma sourcingu polegająca na włączeniu do własnej firmy funkcji, która wcześniej była prowadzona przez podmiot zewnętrzny, to:",insourcing,outsourcing,co-sourcing,multisourcing
"Forma sourcingu, w której firma publicznie ogłasza zadanie i pozwala wziąć w nim udział dowolnej liczbie chętnych osób z zewnątrz, wybierając potem najlepsze rozwiązanie, to:",crowdsourcing,nearshoring,insourcing,co-sourcing
"Model biznesowy polegający na przejęciu, za odpowiednią opłatą, w pełni opracowanego i sprawdzonego pomysłu na biznes (np. McDonald's), to:",franczyza,joint venture,alians strategiczny,outsourcing
"Proces gromadzenia informacji i dogłębnej analizy wszystkich aspektów funkcjonowania przejmowanej spółki, przeprowadzany m.in. przed fuzją lub przejęciem, to:",due diligence,audyt zewnętrzny,bilans strategiczny,benchmarking
"W odróżnieniu od przejęcia, w wyniku fuzji dotychczasowe łączące się przedsiębiorstwa:",tracą swoją osobowość prawną na rzecz nowo utworzonego podmiotu,"zachowują pełną, niezależną osobowość prawną",stają się automatycznie spółkami zależnymi,nie zmieniają w żaden sposób swojej struktury prawnej
"Transakcja, w której dotychczasowa kadra zarządzająca firmą wykupuje udziały od dotychczasowych właścicieli, przejmując nad nią kontrolę, to:",MBO (Management Buyout),MBI (Management Buy-In),LBO (Leveraged Buyout),IPO (pierwsza oferta publiczna)
"Technika obrony przed wrogim przejęciem, umożliwiająca dotychczasowym akcjonariuszom objęcie dodatkowych akcji po atrakcyjnej cenie, co rozwadnia kapitał i podnosi koszt wykupu spółki, nazywana jest:",trującą pigułką (poison pill),białym rycerzem,złotym spadochronem,greenmailem
"Strategiczna Karta Wyników (BSC), opracowana przez Kaplana i Nortona, obejmuje łącznie cztery perspektywy:","finansową, klienta, procesów wewnętrznych oraz rozwoju (uczenia się)","finansową, marketingową, operacyjną oraz prawną","klienta, konkurencji, dostawców oraz pracowników","finansową, klienta, jakości oraz innowacji"
