Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Zgodnie z przepisami o JDG, nazwa firmy musi obowiązkowo zawierać:",imię i nazwisko przedsiębiorcy,"nazwę branży, w której działa firma",adres siedziby firmy,numer NIP przedsiębiorcy
„Ulga na start” zwalnia nowych przedsiębiorców prowadzących JDG ze składek na ubezpieczenia społeczne przez pierwsze:,6 miesięcy,12 miesięcy,24 miesiące,3 miesiące
W spółce cywilnej wspólnicy odpowiadają za długi spółki:,"solidarnie i bez ograniczeń, zarówno majątkiem wspólnym spółki, jak i majątkami osobistymi",wyłącznie do wysokości wniesionych wkładów,wyłącznie majątkiem wspólnym spółki,bez żadnej odpowiedzialności osobistej
"Spółki osobowe charakteryzują się odpowiedzialnością subsydiarną wspólników, co oznacza, że:","wierzyciel może egzekwować majątek osobisty wspólnika dopiero, gdy egzekucja z majątku spółki okaże się bezskuteczna",wspólnicy nigdy nie odpowiadają majątkiem osobistym za długi spółki,wierzyciel może od razu i wyłącznie ścigać majątek osobisty wspólników,odpowiedzialność subsydiarna dotyczy tylko spółek kapitałowych
Do założenia spółki jawnej potrzeba minimum:,"2 osób, którymi mogą być zarówno osoby fizyczne, jak i prawne",1 osoby fizycznej,3 osób fizycznych,"5 osób, w tym co najmniej jednej osoby prawnej"
Spółkę partnerską mogą założyć wyłącznie osoby wykonujące:,"wolne zawody, np. adwokat, lekarz czy architekt",dowolną działalność handlową,działalność produkcyjną na dużą skalę,wyłącznie zawody techniczne związane z budownictwem
W spółce komandytowej komplementariusz odpowiada za zobowiązania spółki:,"bez ograniczeń, całym swoim majątkiem osobistym",wyłącznie do wysokości wniesionego wkładu,w ogóle nie odpowiada za zobowiązania spółki,tylko w przypadku umyślnego działania na szkodę spółki
"Jeśli w nazwie spółki komandytowej zostanie umieszczone nazwisko komandytariusza, to odpowiada on wobec osób trzecich:","tak jak komplementariusz, czyli bez ograniczeń",nadal wyłącznie do wysokości sumy komandytowej,w ogóle nie odpowiada za zobowiązania spółki,odpowiada podwójną wysokością sumy komandytowej
Spółka komandytowo-akcyjna (S.K.A.) jest pierwszą ze spółek osobowych wymagającą wniesienia minimalnego kapitału zakładowego w wysokości:,50 000 zł,5 000 zł,100 000 zł,braku wymaganego kapitału
"Osobowość prawna spółek kapitałowych (z o.o. i S.A.) oznacza, że:","spółka jako odrębny podmiot prawa odpowiada za długi wyłącznie własnym majątkiem, a wspólnicy nie ryzykują prywatnymi pieniędzmi",wspólnicy zawsze odpowiadają całym swoim majątkiem osobistym za długi spółki,spółka nie może zaciągać żadnych zobowiązań finansowych,wspólnicy tracą prawo głosu w sprawach spółki
Minimalny kapitał zakładowy wymagany do założenia spółki z ograniczoną odpowiedzialnością wynosi:,5 000 zł,50 000 zł,100 000 zł,brak wymaganego minimum
Minimalny kapitał zakładowy wymagany do założenia spółki akcyjnej wynosi:,100 000 zł,5 000 zł,50 000 zł,10 000 zł
Dualistyczny charakter spółki akcyjnej oznacza obowiązkowy podział władzy na dwa niezależne organy:,zarząd oraz radę nadzorczą,walne zgromadzenie oraz komisję rewizyjną,prezesa oraz wiceprezesa,akcjonariuszy większościowych oraz mniejszościowych
Zgodnie z relacją między spółką publiczną a giełdową:,"każda spółka giełdowa jest spółką publiczną, ale nie każda spółka publiczna jest spółką giełdową",każda spółka publiczna jest jednocześnie spółką giełdową,oba pojęcia są całkowitymi synonimami,żadna spółka giełdowa nie może być jednocześnie spółką publiczną
Prosta spółka akcyjna (P.S.A.) została zaprojektowana jako forma prawna dedykowana przede wszystkim:,start-upom i firmom z branży nowych technologii,"wyłącznie dużym, ugruntowanym korporacjom",przedsiębiorstwom państwowym,spółdzielniom rolniczym
"Prokurentem, czyli osobą posiadającą prokurę (szczególne pełnomocnictwo handlowe), może zostać wyłącznie:",osoba fizyczna posiadająca pełną zdolność do czynności prawnych,"dowolna osoba prawna, np. inna firma",wyłącznie członek zarządu spółki,wyłącznie radca prawny lub adwokat
"Zgodnie z unijnymi kryteriami wielkości przedsiębiorstw, firma zatrudniająca średniorocznie od 10 do 49 pracowników zaliczana jest do kategorii przedsiębiorstw:",małych,mikro,średnich,dużych
Krajowy Rejestr Sądowy (KRS) jest właściwym rejestrem dla:,"spółek prawa handlowego, w tym spółek kapitałowych i osobowych",wyłącznie jednoosobowych działalności gospodarczych,wyłącznie spółek cywilnych,wyłącznie organizacji pozarządowych (NGO)
"Numer NIP, nadawany przez Urząd Skarbowy w celu identyfikacji podatników, składa się z:",10 cyfr,9 cyfr,14 cyfr,5 cyfr
"Prowadzenie drobnej działalności zarobkowej bez wpisu do CEIDG i bez płacenia składek ZUS jest dopuszczalne od 2018 roku, o ile przychód z tej działalności nie przekracza:",225% minimalnego wynagrodzenia brutto na kwartał,100% minimalnego wynagrodzenia brutto na miesiąc,50% przeciętnego wynagrodzenia rocznie,dowolnej kwoty bez żadnego limitu
