Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Kierownik projektu analizuje raport, w którym wskaźnik wydajności kosztów CPI wynosi 0,8 a wskaźnik wydajności tempa prac SPI wynosi 1,2. Jaki jest stan projektu?","projekt ma niską efektywność kosztową, ale wyprzedza harmonogram",projekt jest realizowany taniej niż zakładano i szybciej niż w harmonogramie,projekt jest realizowany drożej niż zakładano i wolniej niż w harmonogramie,"projekt oszczędza środki, ale ma opóźnienia"
Który z poniższych wskaźników służy do oceny zgodności wykonania projektu z budżetem?,CPI (Cost Performance Index),SPI (Schedule Performance Index),ROA,EVA (Economic Value Added)
W zarządzaniu projektami najczęściej stosowanym podejściem w obszarze ryzyka jest:,łagodzenie ryzyka,przenoszenie ryzyka,ujawnianie ryzyka,unikanie ryzyka
Wskaż ryzyko zewnętrzne związane z organizacją przeglądu amatorskich teatrów szkolnych:,zmiany przepisów prawnych związanych z organizacją imprezy masowej,brak motywacji członków zespołu projektowego,niewłaściwe zarządzanie budżetem projektu,wystąpienie problemów technicznych w trakcie trwania festiwalu
"Analiza, której celem jest ocena wpływu zmiany kluczowych parametrów projektu na wskaźniki efektywności finansowej i ekonomicznej (z zachowaniem zasady ceteris paribus), to analiza:",wrażliwości,finansowa,opłacalności,wykonalności
"Technika szacowania kosztów projektu polegająca na szacowaniu kosztów poszczególnych zadań, a następnie ich sumowaniu, to technika:",szacowania oddolnego,ekspercka,parametryczna,szacowania odgórnego
Która z cech nie jest cechą wykresu Gantta:,zawiera szczegółowe opisy zadań do wykonania,daje możliwość sprawowania bieżącej kontroli nad realizacją projektu i reagowania w sytuacji opóźnienia,przedstawia kolejność zadań do wykonania,umożliwia śledzenie kamieni milowych projektu
Akronim BOSCARD jest pomocny przy:,definiowaniu ram działania projektu,szacowaniu kosztów projektu,wyznaczaniu ścieżki krytycznej,ocenie postępów prac metodą wartości wypracowanej
W akronimie BOSCARD litera C oznacza:,Constraints (ograniczenia),Costs (koszty),Criteria (kryteria sukcesu),Communication (komunikację)
"Element BOSCARD opisujący to, co oddajemy na koniec projektu, to:",Deliverables (produkty),Objectives (cele),Scope (zakres),Background (tło)
Tablica Kanban dzieli zadania na kolumny:,"To do, In progress, Done","Plan, Do, Check, Act","Backlog, Sprint, Review","Start, Stop, Continue"
W metodzie CPM różnicę między najpóźniejszym a najwcześniejszym terminem zdarzenia nazywa się:,rezerwą czasową,ścieżką krytyczną,buforem projektu,czasem najbardziej prawdopodobnym
"W odróżnieniu od tradycyjnego harmonogramu CPM, metoda łańcucha krytycznego (CCPM):","planuje zadania bez zapasu czasu, a zapasy zbiera w buforach",wlicza zapas czasu w czas trwania każdego zadania,opiera się na trzech szacunkach czasu trwania zadania,pomija ryzyko opóźnień i nie stosuje żadnych zapasów
Bufor zasobu w metodzie łańcucha krytycznego to:,informacja dla członka zespołu o zbliżającej się pracy,zapas czasu chroniący ostateczny termin oddania projektu,zapas czasu chroniący zadanie główne przed opóźnieniem zadań pobocznych,rezerwa budżetowa na nieprzewidziane wydatki
Dla każdego zadania w metodzie PERT szacuje się trzy warianty czasu trwania:,"optymistyczny, pesymistyczny i najbardziej prawdopodobny","planowany, rzeczywisty i skorygowany","najwcześniejszy, najpóźniejszy i rezerwowy","standardowy, przyspieszony i awaryjny"
"Metodę PERT, będącą modelem probabilistycznym, stosuje się przede wszystkim w projektach:","nowatorskich, w których trudno oszacować czas trwania zadań","powtarzalnych, w których czas zadań jest dokładnie znany","wyłącznie budowlanych, o stałych cenach materiałów",o zerowym ryzyku i pełnej pewności co do kosztów
