Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Który z poniższych jest najwyższym przejawem dojrzałości finansowej:,"wypracowanie nadwyżki finansowej, która pozwala na sfinansowanie bieżącej konsumpcji",oszczędzanie na wyznaczony cel,posiadanie rezerwy finansowej,prowadzenie budżetu domowego
"Do jakiej kategorii w klasyfikacji postaw wobec pieniędzy zaliczają się osoby podchodzące do finansów w sposób racjonalny, wyważony i instrumentalny?",refleksyjni zarządcy,negujący znaczenie pieniędzy,niespokojni wielbiciele,niezaangażowani hedoniści
Behawioralna teoria cyklu życia dotycząca oszczędzania zakłada:,że umysł człowieka funkcjonuje jako organizacja dwóch systemów: nakłaniającego do natychmiastowej konsumpcji i do oszczędzania,zmiany struktury oszczędności człowieka w zależności od jego wieku,że głównym motywem oszczędzania jest potrzeba bezpieczeństwa,że w okresie poemerytalnym występuje tzw. „oszczędzanie ujemne”
"Z hierarchicznego modelu motywów oszczędzania wynika, że:","zapewnienie sobie zabezpieczenia na wypadek nagłych, nieprzewidzianych potrzeb to najczęściej występujący motyw oszczędzania",zarządzanie gotówką jest najbardziej podstawowym motywem oszczędzania,oszczędzanie na konkretny cel znajduje się wyżej w hierarchii niż zarządzanie zasobami,zarządzanie zasobami nie jest motywem oszczędzania
"System świadczeń społecznych, w którym środki pochodzą z budżetu państwa, nie trzeba wcześniej nic wpłacać, a świadczenie przysługuje ze względu na sytuację życiową (np. urodzenie dziecka), to system:",zaopatrzenia społecznego,pomocy społecznej,ubezpieczeń społecznych,kapitałowy
"Świadczenia, które dają konsumentom pełną swobodę w decydowaniu, na co przeznaczą otrzymane środki (np. zasiłek dla bezrobotnych czy emerytura), nazywamy świadczeniami:",pieniężnymi (gotówkowymi),rzeczowymi,obligatoryjnymi,fakultatywnymi
Świadczenie „Dobry Start” przysługuje w wysokości:,300 zł raz w roku na dziecko uczące się w szkole,800 zł miesięcznie na dziecko do 18. roku życia,500 zł miesięcznie na dziecko do 18. roku życia,300 zł miesięcznie na dziecko uczące się w szkole
Do 2024 roku świadczenie „Rodzina 800 plus” wynosiło:,500 zł miesięcznie na dziecko,300 zł miesięcznie na dziecko,600 zł miesięcznie na dziecko,1000 zł miesięcznie na dziecko
Do zadań Zakładu Ubezpieczeń Społecznych (ZUS) nie należy:,inwestowanie zgromadzonych składek na giełdzie papierów wartościowych,pobieranie składek od pracowników i pracodawców,prowadzenie indywidualnych kont dla ubezpieczonych,wydawanie orzeczeń lekarskich o niezdolności do pracy
Kasa Rolniczego Ubezpieczenia Społecznego (KRUS) odpowiada za:,ubezpieczenie społeczne rolników,ubezpieczenie społeczne osób samozatrudnionych,nadzór nad Otwartymi Funduszami Emerytalnymi,"wypłatę świadczeń rodzinnych, takich jak 800 plus"
W latach 2013–2017 wiek emerytalny w Polsce wynosił:,"67 lat, niezależnie od płci",60 lat dla kobiet i 65 lat dla mężczyzn,65 lat dla kobiet i 67 lat dla mężczyzn,"62 lata, niezależnie od płci"
W polskim systemie emerytalnym charakter międzypokoleniowy (repartycyjny) ma:,I filar (ZUS),II filar,III filar,"zarówno I, jak i II filar"
"Otwarte Fundusze Emerytalne (OFE), w ramach opcji B drugiego filaru, inwestują powierzone im składki:","na rynku kapitałowym, np. w akcje i obligacje, za pośrednictwem Powszechnych Towarzystw Emerytalnych",wyłącznie w obligacje skarbowe gwarantowane przez państwo,na depozytach bankowych o stałym oprocentowaniu,w nieruchomości komercyjne na terenie Polski
"Maksymalny roczny limit wpłat na Indywidualne Konto Emerytalne (IKE) w 2026 roku, wynoszący 300% prognozowanego przeciętnego miesięcznego wynagrodzenia, to kwota:",28 260 zł,11 304 zł,100 000 zł,9 420 zł
"Główną zaletą podatkową Indywidualnego Konta Zabezpieczenia Emerytalnego (IKZE) jest to, że wpłacone środki:","pomniejszają podstawę opodatkowania, dzięki czemu płaci się niższy podatek PIT",są całkowicie zwolnione z podatku Belki bez żadnych dodatkowych warunków,są oprocentowane wyżej niż środki na IKE,podlegają dziedziczeniu bez ograniczeń wiekowych
W ramach Pracowniczych Planów Kapitałowych (PPK) minimalna wpłata pracodawcy wynosi:,"1,5% wynagrodzenia brutto pracownika",2% wynagrodzenia brutto pracownika,4% wynagrodzenia brutto pracownika,7% wynagrodzenia brutto pracownika
"Pracodawca może zostać zwolniony z obowiązku tworzenia PPK, jeśli prowadzi Pracowniczy Program Emerytalny (PPE) z wpłatą co najmniej:","3,5% wynagrodzenia brutto, przy udziale co najmniej 25% zatrudnionych","1,5% wynagrodzenia brutto, przy udziale co najmniej 50% zatrudnionych","7% wynagrodzenia brutto, niezależnie od liczby uczestników","2% wynagrodzenia brutto, przy udziale wszystkich zatrudnionych"
Który z poniższych jest najwyższym przejawem dojrzałości finansowej:,"wypracowanie nadwyżki finansowej, która pozwala na sfinansowanie bieżącej konsumpcji",oszczędzanie na wyznaczony cel,posiadanie rezerwy finansowej,prowadzenie budżetu domowego
"Do jakiej kategorii w klasyfikacji postaw wobec pieniędzy zaliczają się osoby podchodzące do finansów w sposób racjonalny, wyważony i instrumentalny?",refleksyjni zarządcy,negujący znaczenie pieniędzy,niespokojni wielbiciele,niezaangażowani hedoniści
Behawioralna teoria cyklu życia dotycząca oszczędzania zakłada:,że umysł człowieka funkcjonuje jako organizacja dwóch systemów: nakłaniającego do natychmiastowej konsumpcji i do oszczędzania,zmiany struktury oszczędności człowieka w zależności od jego wieku,że głównym motywem oszczędzania jest potrzeba bezpieczeństwa,że w okresie poemerytalnym występuje tzw. „oszczędzanie ujemne”
"Z hierarchicznego modelu motywów oszczędzania wynika, że:","zapewnienie sobie zabezpieczenia na wypadek nagłych, nieprzewidzianych potrzeb to najczęściej występujący motyw oszczędzania",zarządzanie gotówką jest najbardziej podstawowym motywem oszczędzania,oszczędzanie na konkretny cel znajduje się wyżej w hierarchii niż zarządzanie zasobami,zarządzanie zasobami nie jest motywem oszczędzania
"Klasyczną hipotezę cyklu życia, zakładającą dążenie ludzi do wyrównanego poziomu konsumpcji przez całe życie (brak oszczędzania w młodości i na emeryturze, intensywne oszczędzanie w średnim wieku), sformułowali:",Franco Modigliani i Richard Brumberg,Hersch Shefrin i Richard Thaler,Daniel Kahneman i Amos Tversky,Milton Friedman i Paul Samuelson
"W behawioralnej teorii cyklu życia Shefrina i Thalera głos w umyśle człowieka, który nakłania do natychmiastowej konsumpcji, nazywany jest:",krótkowzrocznym sprawcą,dalekowzrocznym planistą,refleksyjnym zarządcą,niezaangażowanym hedonistą
"Najbardziej podstawowy, pierwszy poziom piramidy dojrzałości finansowej to:",bieżące kontrolowanie wydatków i prowadzenie budżetu domowego,"oszczędzanie na konkretny, wyznaczony cel",rezerwa finansowa na wypadek utraty dochodów,wypracowanie nadwyżki z inwestycji
"Trzeci poziom piramidy dojrzałości finansowej, będący zabezpieczeniem standardu życia na wypadek utraty dochodów, to:",rezerwa finansowa,budżet domowy,oszczędzanie na cel,nadwyżka z inwestycji
"Postawę wobec pieniędzy, w której traktuje się je jako „zło samo w sobie” i odrzuca racjonalne podejście do finansów, nazywamy:",negowaniem znaczenia pieniędzy,niezaangażowanym hedonizmem,refleksyjnym zarządzaniem,niespokojnym wielbicielstwem
Postawę wobec pieniędzy polegającą na wykorzystywaniu ich jako narzędzia kontrolowania innych ludzi reprezentują:,niespokojni wielbiciele,refleksyjni zarządcy,negujący znaczenie pieniędzy,niezaangażowani hedoniści
"Postawę wobec pieniędzy, w której traktuje się je wyłącznie jako źródło bieżącej przyjemności, bez oszczędzania czy inwestowania, reprezentują:",niezaangażowani hedoniści,refleksyjni zarządcy,niespokojni wielbiciele,negujący znaczenie pieniędzy
"Zgodnie z hierarchicznym modelem motywów oszczędzania, najrzadziej występującym motywem jest:","zarządzanie zasobami, czyli świadome pomnażanie majątku",zarządzanie gotówką na bieżące wydatki,zabezpieczenie na wypadek nagłych potrzeb,gromadzenie środków na konkretny cel
Oprocentowanie karty kredytowej:,naliczane jest dopiero po upłynięciu grace period,naliczane jest od razu po dokonaniu płatności kartą,może przekraczać oprocentowanie dopuszczalne ustawą antylichwiarską,jest niższe niż oprocentowanie kredytu hipotecznego
"Grace period to okres, w którym:",możemy korzystać z nieoprocentowanego kredytu na karcie kredytowej,zamrażamy swoje środki na lokacie bankowej,możemy zwrócić w sklepie zakupiony towar,"okres ochronny przed emeryturą, w którym pracownik nie może zostać zwolniony z pracy"
Skrót RRSO oznacza:,rzeczywistą roczną stopę oprocentowania,racjonalną roczną stopę oprocentowania,racjonalną roczną stopę oszczędności,rzeczywistą roczną stopę oszczędności
Który z poniższych produktów finansowych będzie miał najniższą wartość RRSO (przy standardowych rynkowych parametrach produktu)?,kredyt hipoteczny,kredyt bankowy „na święta”,roczny kredyt na karcie kredytowej,roczna pożyczka z firmy oferującej „szybkie pożyczki” i „chwilówki”
Który z poniższych produktów finansowych będzie miał najwyższą wartość RRSO przy standardowych rynkowych parametrach produktu?,14-dniowa pożyczka z firmy oferującej „szybkie pożyczki” i „chwilówki”,30-letni kredyt hipoteczny,zadłużenie w ramach przyznanego limitu na karcie kredytowej,półroczny kredyt bankowy „na wakacje”
Spirala zadłużenia w finansach osobistych oznacza:,"stan, w którym dłużnik posiadający zobowiązania pożyczkowe zaciąga kolejne pożyczki na regulowanie bieżącego zadłużenia","stan, w którym dłużnik przy rosnących stopach procentowych i zmiennym oprocentowaniu kredytów płaci wyższe raty kredytowe","stan, w którym gospodarstwo domowe posiada jednocześnie lokaty bankowe i kredyt (o wyższym oprocentowaniu niż depozyty)","stan, w którym gospodarstwo domowe zaciąga kredyt, żeby sfinansować wymarzony wyjazd wakacyjny"
"Wskaźnik LTV w umowie kredytu hipotecznego wynoszący 80% oznacza, że:","wartość kredytu wynosi 0,8 wartości zabezpieczenia",wkład własny kredytobiorcy wynosi 80% wartości nieruchomości,wysokość miesięcznej raty będzie wynosiła 80% dochodów netto kredytobiorcy,wysokość miesięcznej raty będzie wynosiła 20% dochodów netto kredytobiorcy
Żywność i napoje bezalkoholowe oraz koszty utrzymania mieszkania stanowią łącznie w strukturze wydatków przeciętnego polskiego gospodarstwa domowego około:,45% wszystkich wydatków,25% wszystkich wydatków,60% wszystkich wydatków,15% wszystkich wydatków
"Karta, która pozwala dysponować środkami wyłącznie do wysokości salda na rachunku, a transakcja zostaje odrzucona przy braku wystarczających środków, to karta:",debetowa,kredytowa,przedpłacona,obciążeniowa (charge)
"Karta, która przyznaje klientowi odnawialny limit i pozwala dokonywać zakupów bez posiadania własnych środków na rachunku w momencie transakcji, to karta:",kredytowa,debetowa,przedpłacona,bankomatowa
Polski standard Numeru Rachunku Bankowego (NRB) składa się łącznie z:,26 cyfr,16 cyfr,20 cyfr,34 cyfr
"W odróżnieniu od kredytu, pożyczka:","może zostać udzielona przez dowolny podmiot, także osobę prywatną, i może być bezpłatna","może być udzielona wyłącznie przez bank, na podstawie Prawa bankowego",zawsze wiąże się z naliczeniem odsetek i prowizji,"musi mieć zawsze formę pisemną, niezależnie od kwoty"
"Bierzesz kredyt na 10 000 zł na rok przy oprocentowaniu nominalnym 10% (odsetki ok. 550 zł), a bank pobiera dodatkowo 500 zł prowizji i 200 zł za obowiązkowe ubezpieczenie. Całkowity koszt tego kredytu wynosi:",1 250zł,550zł,700zł,10 000 zł
"Kredyt pozwalający na scalenie wielu mniejszych rat z różnych banków w jedną, zwykle niższą ratę miesięczną, to kredyt:",konsolidacyjny,rewolwingowy,kupiecki,inwestycyjny
"Kredyt, w którym spłata zadłużenia automatycznie odnawia dostępną pulę środków bez konieczności składania nowych wniosków, to kredyt:",rewolwingowy,konsolidacyjny,kupiecki,inwestycyjny
Instytucja gromadząca dane o historii kredytowej obywateli i firm w Polsce to:,Biuro Informacji Kredytowej (BIK),Komisja Nadzoru Finansowego (KNF),Bankowy Fundusz Gwarancyjny (BFG),Urząd Ochrony Konkurencji i Konsumentów (UOKiK)
"Metoda spłaty zadłużenia (Debt Snowball), polegająca na spłacaniu w pierwszej kolejności najmniejszych długów niezależnie od ich oprocentowania, przy jednoczesnym regulowaniu minimalnych rat pozostałych zobowiązań, to metoda:",kuli śnieżnej,lawiny zadłużenia,spirali zadłużenia,konsolidacji długu
Upadłość konsumencka jest przeznaczona wyłącznie dla:,"osób fizycznych nieprowadzących działalności gospodarczej, które stały się niewypłacalne",przedsiębiorców prowadzących jednoosobową działalność gospodarczą,spółek kapitałowych zagrożonych bankructwem,"osób fizycznych niezależnie od tego, czy prowadzą działalność gospodarczą"
"Długość planu spłaty w postępowaniu upadłościowym konsumenckim, gdy niewypłacalność wynika z rażącego niedbalstwa lub winy własnej dłużnika, może wynosić:",od 3 do 7 lat,"zawsze dokładnie 3 lata, niezależnie od przyczyny",maksymalnie 1 rok,"dożywotnio, bez możliwości umorzenia"
Co może być przyczyną inflacji kosztowej?,płace rosnące szybciej niż wydajność pracy,malejąca rynkowa stopa procentowa,urodzaj występujący w rolnictwie,zwiększająca się liczba konsumentów
Inflację podażową wywoła:,wzrost wynagrodzeń większy niż wzrost wydajności pracy,obniżenie centralnych stóp procentowych przez bank centralny,wzrost zadłużenia gospodarstw domowych w bankach,zwiększenie skłonności do konsumpcji
"Jeżeli w analizowanym okresie dochody nominalne wzrosły o 10%, a inflacja w tym czasie wyniosła 5%, to dochody realne:",wzrosły,nie zmieniły się,spadły,nie można tego stwierdzić
Inflacja wywołana przez wzrost cen energii to przykład inflacji:,kosztowej,galopującej,popytowej,strukturalnej
"Niewielki ogólny wzrost cen w gospodarce, nieprzekraczający 5% rocznie, to:",inflacja pełzająca,deflacja,hiperinflacja,inflacja krocząca
Inflacja nieprzekraczająca 5% rocznie to inflacja:,pełzająca,galopująca,hiperinflacja,krocząca
Zjawisko slumpflacji polega na:,"występowaniu w gospodarce państwa zarówno znaczącej inflacji, jak i spadku produkcji oraz dochodu narodowego w ujęciu bezwzględnym","występowaniu w gospodarce państwa zarówno niskiej inflacji, jak i spadku produkcji oraz dochodu narodowego w ujęciu bezwzględnym","występowaniu w gospodarce państwa zarówno znaczącej inflacji, jak i wzrostu produkcji oraz dochodu narodowego w ujęciu bezwzględnym","występowaniu w gospodarce państwa zarówno niskiej inflacji, jak i wzrostu produkcji oraz dochodu narodowego w ujęciu bezwzględnym"
Inflacja na poziomie 44% rocznie jest inflacją:,galopującą,pełzającą,umiarkowaną (kroczącą),hiperinflacją
Które z poniższych zjawisk jest charakterystyczne dla inflacji popytowej?,nadmierna podaż pieniądza w obiegu,spadek kosztów produkcji,usprawnienie technologii produkcji,wzrost cen surowców
"Zjawisko będące odwrotnością inflacji, czyli bezwzględny spadek ogólnego poziomu cen dóbr i usług w gospodarce, to:",deflacja,dezinflacja,inflacja pełzająca,stagflacja
"Sytuację, w której poziom inflacji z roku na rok się zmniejsza, ale ceny towarów i usług wciąż rosną – tylko wolniejszym tempem, nazywamy:",dezinflacją,deflacją,stagflacją,slumpflacją
Jednoczesne występowanie w gospodarce wysokiej inflacji oraz dużego bezrobocia i stagnacji gospodarczej to:,stagflacja,slumpflacja,dezinflacja,deflacja
"Zjawisko, w którym nominalny wzrost dochodów wypycha podatników do wyższych progów podatku progresywnego, mimo że ich realna siła nabywcza wcale nie rośnie, nazywa się:",taksflacją (drenażem podatkowym),slumpflacją,złudzeniem inflacyjnym,stagflacją
Wskaźnik CPI oblicza się jako:,"stosunek wartości koszyka dóbr w danym roku do wartości tego koszyka w roku bazowym, pomnożony przez 100",sumę cen wszystkich dóbr wyprodukowanych w gospodarce w danym roku,różnicę między PKB nominalnym a PKB realnym,iloczyn stopy inflacji i liczby ludności kraju
"Wskaźnik inflacji, który celowo pomija ceny żywności i energii, ponieważ są one najbardziej zmienne i najszybciej się zmieniają, to:",inflacja bazowa,CPI,PPI,deflator PKB
"Wskaźnik cen producentów, mierzący zmiany cen, po jakich producenci sprzedają swoje wyroby hurtowo (jeszcze przed sprzedażą konsumentom), to:",PPI (Producer Price Index),CPI (Consumer Price Index),deflator PKB,inflacja bazowa
"W odróżnieniu od CPI, deflator PKB:","uwzględnia ceny wszystkich dóbr wyprodukowanych w kraju, a nie tylko tych kupowanych przez przeciętnego konsumenta",mierzy wyłącznie ceny dóbr importowanych do kraju,pomija całkowicie ceny dóbr konsumpcyjnych,jest obliczany wyłącznie dla dóbr luksusowych
"Zjawisko mylenia przez ludzi zmian nominalnych ze zmianami realnymi – np. cieszenia się z podwyżki płacy bez dostrzegania, że ceny wzrosły równie mocno – nazywa się:",złudzeniem inflacyjnym (iluzją pieniądza),taksflacją,dezinflacją,efektem wypierania
Tzw. „koszty zdzieranych zelówek” to koszty inflacji związane z:,"czasem, jaki konsumenci poświęcają na poszukiwanie tańszych zamienników drożejących towarów",koniecznością drukowania przez przedsiębiorstwa nowych cenników i etykiet,utratą przez pieniądz funkcji miernika wartości,spadkiem realnej wartości oszczędności trzymanych w banku
PKB w cenach rynkowych nie uwzględnia:,salda dochodów własności podmiotów krajowych za granicą i podmiotów zagranicznych w kraju,amortyzacji,podatków pośrednich,wartości dóbr finalnych wytworzonych w danym roku na terenie państwa
"Aby obliczyć PNB, należy skorygować PKB o:",dochody netto z własności za granicą,amortyzację,podatki pośrednie i subsydia,wielkość rozporządzalnych dochodów osobistych
Realny PKB zawsze mierzy się w cenach:,stałych,bieżących,czynników wytwórczych,rynkowych
PKB per capita oznacza:,PKB w przeliczeniu na jednego mieszkańca,PKB w przeliczeniu na jednego zatrudnionego,PKB z uwzględnieniem siły nabywczej waluty,PKB w przeliczeniu na realną wartość wynagrodzeń
Którego miernika nie bierze się pod uwagę przy wyznaczaniu HDI (Human Development Index)?,zanieczyszczenia powietrza,dochodu narodowego na mieszkańca,oczekiwanej długości życia,oczekiwanej liczby lat edukacji dla osób rozpoczynających edukację w szkole
Która z poniższych zmiennych nie jest brana pod uwagę w wyliczeniu HDI (Human Development Index)?,wysokość emerytury względem średniej pensji krajowej,średnia liczba lat edukacji otrzymanej przez mieszkańców w wieku 25 lat i starszych,oczekiwana liczba lat edukacji dla dzieci rozpoczynających proces kształcenia,"dochód narodowy per capita w USD, liczony według parytetu siły nabywczej danej waluty"
Metodą obliczania wielkości PKB nie jest:,metoda sumowania produktów pośrednich,metoda sumowania produktów finalnych,metoda sumowania dochodów właścicieli czynników wytwórczych,metoda sumowania wydatków poniesionych na dobra finalne
"Metoda obliczania PKB, która uwzględnia płace i zyski pracowników i przedsiębiorstw uczestniczących w wytwarzaniu PKB to:",metoda sumowania dochodów,metoda deflatora PKB,metoda realnego PKB,metoda sumowania wydatków
