Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2 (Optional),Incorrect Answer 3 (Optional)
"Rentowność do wykupu (YTM) obligacji jest wyższa od jej oprocentowania kuponowego, gdy obligacja jest kupowana:","z dyskontem, czyli poniżej wartości nominalnej","z premią, czyli powyżej wartości nominalnej",dokładnie po wartości nominalnej,"niezależnie od ceny zakupu, YTM zawsze równa się kuponowi"
"Obligacje emitowane przez jednostki samorządu terytorialnego, których spłata pochodzi wyłącznie z przychodów generowanych przez finansowane przedsięwzięcie (np. opłaty za przejazd autostradą), to obligacje:",przychodowe,komunalne ogólne,skarbowe,zamienne
"Papier wartościowy, w którym trasant wydaje trasatowi polecenie zapłacenia określonej sumy pieniężnej na rzecz remitenta, to:",weksel,obligacja,list zastawny,warrant subskrypcyjny
"Dłużny papier wartościowy emitowany wyłącznie przez banki hipoteczne, zabezpieczony hipoteką na nieruchomościach, na które udzielono kredytów, to:",list zastawny,bankowy papier wartościowy,bon skarbowy,obligacja przychodowa
"Papier wartościowy dający posiadaczowi prawo, ale nie obowiązek, do objęcia akcji nowej emisji spółki w określonym czasie i po określonej cenie, wymagający uchwały WZA, to:",warrant subskrypcyjny,prawo poboru,prawo do akcji (PDA),certyfikat inwestycyjny
"Inwestor otwierający pozycję długą (long) na kontrakcie terminowym zyskuje, gdy cena instrumentu bazowego:",wzrośnie,spadnie,pozostanie bez zmian,osiągnie zero
"W odróżnieniu od kontraktu Futures, kontrakt Forward:","jest negocjowany indywidualnie i zawierany prywatnie, głównie między dużymi instytucjami, na rynku pozagiełdowym (OTC)",jest w pełni standaryzowany i dostępny dla szerokiego kręgu inwestorów u brokerów,rozlicza zyski i straty codziennie po zakończeniu sesji giełdowej,charakteryzuje się wyższą płynnością niż kontrakt Futures
Opcja sprzedaży (put) daje jej nabywcy prawo do:,sprzedaży instrumentu bazowego po ustalonej cenie wykonania,zakupu instrumentu bazowego po ustalonej cenie wykonania,wymiany strumieni odsetkowych z drugą stroną,dostawy instrumentu bazowego w oznaczonym terminie
"Fundusz inwestycyjny, który emituje ściśle ograniczoną liczbę certyfikatów inwestycyjnych i dzięki większej swobodzie inwestycyjnej może lokować kapitał także w transakcje terminowe czy udziały spółek z o.o., to fundusz:",zamknięty (FIZ),otwarty (FIO),rynku pieniężnego,stabilnego wzrostu
"Wśród funduszy inwestycyjnych, uszeregowanych od najmniej do najbardziej ryzykownych, największym ryzykiem charakteryzują się fundusze:",akcyjne (akcji),rynku pieniężnego,obligacji (dłużne),stabilnego wzrostu
